"Sku","Description","SubCategory","Fulfillment Cost","USA cost","Overseas Cost","Labor Cost","Alt Item Number","Alternate Product","On Order","Lead Time","Total Inventory","Tags","Active","Weight Amount","Weight Unit","Length","Width","Height","Dimensional Unit","External Site Product","Departments","Minimum Inventory","Maximum Inventory","Image"
"SSBO","Keychain Bottle Opener-Stainless Steel","","5.1","","0","0","","null","0","4","83","","Yes","1.8","Ounce(s)","3.31","2.13","0","Inches","No","Engraving","0","0","https://cwaprodstorage.blob.core.windows.net/images/f95cc911-710f-4421-9759-10db0033c0dcIMG_9081_clipped_rev_1.jpg"
"STDSCWSIL","Stainless Steel Standoff Screws (1/2"" x 1"")- Includes Screw Wall Anchor and Rubber Cushions","Shipping Supplies","0","","0","0","","null","0","3","112","","Yes","0","Ounce(s)","0.5","0","1","Inches","No","Inventory","200","5000","https://cwaprodstorage.blob.core.windows.net/images/dd3f8739-24cc-4a90-ac29-8658a7786c45Screenshot 2023-04-11 142601.png"
"STOCKCRE","Cream Knit Christmas Stocking","","10.5","","0","0","null","null","0","60","1222","","Yes","3.7","Ounce(s)","18","5.75","0","Inches","No","Embroidery","0","0","https://cwaprodstorage.blob.core.windows.net/images/a1301205-8272-4766-a25f-37da73d179baIMG_9357_clipped_rev_1.jpg"
"STOCKGRA","Gray Knit Christmas Stocking","","10.5","","0","0","null","null","0","60","4324","","Yes","3.7","Ounce(s)","18","5.75","0","Inches","No","Embroidery","0","0","https://cwaprodstorage.blob.core.windows.net/images/417ddd17-6deb-4e12-b6be-87b0a23c0fb7IMG_9360_clipped_rev_1.jpg"
"STOCKGRE","Green Knit Christmas Stocking","","10.5","","0","0","null","null","0","60","590","","Yes","3.7","Ounce(s)","18","5.75","0","Inches","No","Embroidery","0","0","https://cwaprodstorage.blob.core.windows.net/images/44b7b880-bb6b-4924-94ce-598b1aae3fc2IMG_9348_clipped_rev_1 %282%29.jpg"
"STOCKRED","Red Knit Christmas Stocking","","10.5","","0","0","null","null","0","60","123","","Yes","3.7","Ounce(s)","18","5.75","0","Inches","No","Embroidery","0","0","https://cwaprodstorage.blob.core.windows.net/images/ad0a7b18-3817-4823-a585-844fb56ae981IMG_9355_clipped_rev_1 %281%29.jpg"
"STRLRGBLK","Large Straw- Black","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRLRGBLU","Large Straw- Blue","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRLRGCLR","Large Straw- Clear","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRLRGCOR","Large Straw- Coral","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRLRGHPK","Large Straw- Hot Pink","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRLRGLAV","Large Straw- Lavender","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRLRGPNK","Large Straw- Pink","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRLRGSEA","Large Straw- Seaside","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRLRGWHT","Large Straw- White","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRMEDBLK","Medium Straw- Black","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRMEDCLR","Medium Straw- Clear","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRMEDGRN","Medium Straw- Green","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRMEDICB","Medium Straw- Iceberg","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRMEDPNK","Medium Straw- Pink","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRSGN0812","8 x 12 thin aluminum sign","","8.5","","0","0","null","null","0","0","0","","Yes","12","Ounce(s)","8","12","0","Inches","No","","0","0",""
"STRSGN1208","Street Sign Aluminum 12x8 - UV printed design","Laser Metal Supplies","8.5","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","12","8","0.1","Inches","No","","0","9999",""
"STRSGN1812","Street Sign Aluminum 18x12- UV printed design","Laser Metal Supplies","16.5","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","18","12","0.1","Inches","No","","0","9999",""
"STRSGN2405","Street Sign Aluminum 24x5 - UV printed design","","10","","0","0","","null","0","0","2","","Yes","6.5","Ounce(s)","24","5","0.25","Inches","No","UVP","0","9999","https://cwaprodstorage.blob.core.windows.net/images/d2d530aa-bd36-46ab-aa0c-8aac4ad59db4inlineImage %281%29.png"
"STRSGN2416","Street Sign Aluminum 24x16 - UV printed design","Laser Metal Supplies","27.5","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","24","16","0.1","Inches","No","","0","9999",""
"STRSMLCLR","Small Straw- Clear","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRSMLMNT","Small Straw- Mint","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRSMLPNK","Small Straw- Pink","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRSMLPUR","Small Straw- Purple","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STRSMLRBL","Small Straw- Royal Blue","","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","1","1000",""
"STS0126","12.5 x 6.5 inch License Plate Frame with Engraved Personalization","","12.5","","0","0","","null","0","0","0","","Yes","0","Ounce(s)","12.5","6.5","1","Inches","No","Engraving, Metal","0","0",""
"STS0612","12.5 x 6.5 inch License Plate Frame","","10.5","","0","0","","null","0","0","0","","Yes","0","Ounce(s)","12.5","6.5","1","Inches","No","Metal","0","0",""
"STS12","1/2 size Metal sign 12""","","15.5","","0","0","","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Metal","0","0",""
"STS14","1/2 Size Metal sign 14""","","19.5","","0","0","","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Metal","0","0",""
"STS18","1/2 Size Metal Sign 18""","","26.5","","0","0","","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Metal","0","0",""
"STS24","1/2 Size Metal Sign 24""","","32.5","","0","0","","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Metal","0","0",""
"STS30","1/2 Size Metal Sign 30""","","41.5","","0","0","","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Metal","0","0",""
"STS3504PDL","35 X 4 X 1/4 INCH ALUMINUM BOILING PADDLE","","29.5","","0","0","","null","0","0","0","","Yes","36.8","Ounce(s)","35","4","0.25","Inches","No","Metal","1","1","https://cwaprodstorage.blob.core.windows.net/images/d8591aa4-ca37-4480-802d-666ef8a38009MicrosoftTeams-image %2827%29.png"
"STS36","1/2 Size Metal sign 36""","","58.5","","0","0","","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Metal","0","0",""
"SUBLIMATION_PAPER","64""x300' Epson Dye Sublimation Multi Purpose Transfer paper 105 gsm","Sublimation Supplies","0","","0","0","S045452","null","0","7","1","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","0","0",""
"SUNROS","Sunglasses- Rose Gold Plastic","","5","","0","0","","null","0","30","60","","Yes","0.9","Ounce(s)","5.75","5.75","2","Inches","No","Engraving","0","0","https://cwaprodstorage.blob.core.windows.net/images/5b5d17e1-34d7-4abd-baba-c44fe77155f6glasses-1.jpg"
"SVBDRDLRG","Santa Velvet Bag- Dark Red Large 
 Dark red velvet Santa bag with red drawstring 
 Size Large 
 18""x25""","","0","","0","0","QUAL2330","null","0","60","1605","New Product,Missing Info,Q2","Yes","0","Ounce(s)","18","0","25","Inches","No","Embroidery","1","10000","https://cwaprodstorage.blob.core.windows.net/images/fe4d456c-0401-4868-852e-23c6b8105d6cSanta Bag.jpg"
